generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
0,10,0.99,0.19999999999999998,10.0,0,0,0
0,10,2.3849074074074443,0.19999999999999998,10.0,6,1,3
1,18,1.0911973067184308,0.2023599122533579,10.046567565743407,5,3,10
2,16,1.0267337691422258,0.20419859494234058,10.202745388799135,5,1,10
3,15,1.2803814043654265,0.20618591654227955,10.362163303468465,6,3,6
4,16,0.9515485368746611,0.2078323639649372,10.353113805574763,6,1,9
5,16,0.985716806098186,0.20641785348243083,10.34361507746859,6,1,9
6,17,0.9761239625875345,0.20662546446114827,10.071653286409436,7,1,9
7,19,0.7662057404765016,0.20815503657106701,9.871066909709866,5,2,12
8,15,1.2387697007829732,0.2107998933181112,9.927885309103084,3,4,8
9,12,1.955234967894038,0.20824770150622088,9.872068689647598,6,2,4
10,17,0.9503445376895607,0.20848866374542208,9.549910896978368,4,2,11
11,12,2.003679465884896,0.2150263341801479,9.557620006347422,6,1,5
12,16,1.3503997879314935,0.22015400757016304,9.076970560451516,5,1,10
13,13,1.5229811299423628,0.22309865974176762,9.010870388061637,5,3,5
14,16,1.3014080862393602,0.22340110144825312,8.812762721497018,6,1,9
15,15,1.790599667883246,0.22680428135405803,8.589325266624368,7,1,7
16,19,1.6798242855986223,0.2265403736779522,8.581608118243759,8,2,9
17,22,1.4863956367794984,0.22648072081019652,8.447515998040869,7,2,13
18,20,1.9381074251878885,0.23057379999231423,8.523552706295368,11,3,6
19,28,1.5602877231846735,0.2295390554074837,8.608089359668652,8,5,15
20,25,1.164169119361235,0.23082466433821722,8.485285043717981,5,6,14
21,19,1.4173942623703044,0.23218203376449542,8.508377293778508,8,1,10
22,20,2.1524159908671634,0.23537447994232225,8.339197755921477,12,1,7
23,30,1.1765526002102704,0.2319836516903805,8.06130488685029,7,8,15
24,24,0.8949013369334282,0.23053578631287674,8.13606527420715,7,3,14
25,19,1.9440336174408661,0.23234434925916414,7.986960889098884,8,3,8
26,23,1.0692903482092717,0.23658396622295874,7.919294602698929,4,8,11
27,17,2.631836438175729,0.23945245319499767,7.667026751445163,10,3,4
28,27,1.6984806858232304,0.24529545717519383,7.36263119689441,9,7,11
29,29,1.7114546157205217,0.24811785925952232,7.285145873693274,12,4,13
