generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
0,10,0.99,1.28733421402444,-0.06943666675241707,0,0,0
0,10,2.548497366341064,1.28733421402444,-0.06943666675241707,3,3,4
1,12,2.550859254268151,2.781991255314095,0.10430176552086172,4,2,6
2,15,3.4587355753950573,3.9762954700354,1.4700436219491662,9,2,4
3,27,2.2018880466685213,4.943833230960178,2.0505922389988913,10,6,11
4,32,2.0840862938350497,4.960860035622825,2.037767079899771,12,12,8
5,39,1.4957648071186915,4.979285865893398,2.068743293747964,12,11,16
6,38,1.8689100368604905,5.01276824947346,2.0851142463901233,17,6,15
7,44,1.734854222008751,4.9560320375715206,2.0586724743125275,15,17,12
8,48,1.6849122242152328,4.967577961621747,2.056424806304961,15,18,15
9,51,1.5447873179708391,4.960594799807207,2.0464961728984616,15,15,21
10,49,1.682738936898145,4.939961317565478,2.059488527671253,11,23,15
11,48,1.5924943069279378,4.977525240795976,2.082408179788272,16,11,21
12,48,1.6603332332903198,5.053468896836837,2.0900604218256427,16,13,19
13,49,1.5772299272181602,5.126851372327098,2.0718434958478027,17,10,22
14,48,1.6176748698918944,5.101869583241075,2.140989373783932,21,5,22
15,48,1.6835106222565226,5.0900382095071235,2.196720399266388,16,13,19
16,50,1.67563752660852,5.176453416088602,2.2072965567803835,17,18,15
17,53,1.6996435420750247,5.150839729124895,2.2273144549261765,16,12,25
18,47,1.6168919689764232,5.1657274838884994,2.2373177472628045,13,14,20
19,43,1.7016473718178007,5.212913640037327,2.277508859106231,16,10,17
20,44,1.6365035572760538,5.287635515241501,2.302047446026341,16,13,15
21,46,1.745737654316401,5.303541514101445,2.342940628243958,18,10,18
22,47,1.727385935871335,5.284860380785709,2.3761185484999414,15,12,20
23,45,1.7526318217558106,5.315545808507962,2.3862513323475616,17,8,20
24,45,1.8025149894289285,5.354818834075589,2.3766836190059717,17,12,16
25,49,1.5945135222390585,5.4339482916014035,2.418830077259528,18,10,21
26,48,1.7262394893981696,5.506926925306986,2.413944464729811,17,12,19
27,49,1.7758253054367479,5.504504655348563,2.4127809775967046,17,12,20
28,48,1.7124213258293073,5.4912436748976186,2.4299046630075014,17,10,21
29,48,1.704009160148975,5.48055880023145,2.4364782494095687,17,11,20
30,48,1.7778880997131996,5.467365219222294,2.422816122858576,16,10,22
31,45,1.6765161467367178,5.5446858585650975,2.4201878426454018,16,13,16
32,46,1.5151376989819785,5.491488849841699,2.4135060149824428,11,10,25
33,35,1.7765168853443492,5.568010783508401,2.379591544456814,13,7,15
34,36,1.8963918804832183,5.792905217116034,2.3569064382066944,14,11,11
35,41,1.9906331825851882,5.812526365011803,2.393396958561762,15,6,20
36,44,1.9848992737451367,5.663077943300416,2.4084637444233254,14,11,19
37,43,2.0250789809407075,5.743643748248294,2.415079741853958,19,11,13
38,51,1.8382058627684636,5.762810492377407,2.3896669637231645,19,10,22
39,53,1.7583317664160318,5.723672664778457,2.370693766908389,19,10,24
40,49,1.9172409989387813,5.739798614851837,2.366154128880713,19,10,20
41,50,1.8617132808167849,5.923177615009109,2.4076364578430915,17,9,24
42,46,1.8491245095278883,5.734809142826376,2.43419649742707,17,16,13
43,51,1.855543617498588,5.57755598834165,2.472798657330169,14,17,20
44,48,1.947106685390848,5.443126992606454,2.506147709207713,16,10,22
45,46,1.9308816231534132,5.417874578898049,2.5470115084484037,13,15,18
46,44,1.9837717634687957,5.40934266112002,2.5361922551308806,21,7,16
47,50,1.7119516379143087,5.492826093986919,2.5687165642772793,16,12,22
48,46,1.6066266920945933,5.671445683934605,2.565631773024773,14,12,20
49,41,1.6530402108998872,5.621738475959948,2.616128554657825,11,12,18
50,37,1.9916749079461478,5.713356389724654,2.597075775698795,13,15,9
51,45,1.8778078806316623,5.677615723919348,2.5857900473607165,17,10,18
52,48,1.7856389571056495,5.715261341579339,2.5961137644237726,19,9,20
53,48,1.4775052260712893,5.78290878084928,2.5599764035002024,12,8,28
54,34,2.1088531660808294,5.75240394396002,2.54586047046055,16,7,11
55,44,1.8414366872021122,5.774909049063267,2.552699489585004,14,13,17
56,46,1.7567765603209862,5.777344414263759,2.597384532269896,17,10,19
57,48,1.731049983306474,5.75754174211922,2.583101705330843,18,7,23
58,46,1.7856067743928628,5.847467809642675,2.548409460040365,20,8,18
59,49,1.6582014867795591,5.851305537159798,2.518640774950603,19,14,16
60,52,1.6844867502003804,5.856256327881858,2.5033291281201047,20,7,25
61,50,1.838019056143527,5.914033212317772,2.4590530113737312,16,18,16
62,51,1.5319824410294332,5.998602874385208,2.4338937024344136,15,16,20
63,47,1.4798363263524188,5.9884114032123605,2.440011560699394,11,11,25
64,37,1.8114721767894835,6.104575579134028,2.425150173108614,14,10,13
65,39,1.7865309506743363,6.139727272527456,2.4361796805896367,14,14,11
66,44,1.7217879309835034,6.047298643939244,2.4387821495623516,15,16,13
67,49,1.4520790673345139,6.059735858484695,2.4390224108506833,9,20,20
68,39,1.7702765639112272,6.03698353895242,2.429232769808929,15,9,15
69,40,1.8476560693114297,5.948778145832869,2.3998988557076375,15,11,14
70,44,1.8608454940227128,6.010604937223829,2.408455136919672,17,10,17
71,47,1.7012184165262436,5.956106895970693,2.4012584669456154,21,10,16
72,54,1.5479640204205538,6.025590525282961,2.4216366305714905,19,15,20
73,55,1.65229443041979,6.063941813362937,2.4024362685050096,20,12,23
74,53,1.6120424103072424,6.122446281434568,2.448444814558177,16,14,23
75,48,1.4851628770778744,6.195068828180436,2.46600585489792,14,12,22
76,40,1.803011930208075,6.2030280594834375,2.493672768534532,17,7,16
77,45,1.7932972338958542,6.268579142047761,2.484330574087441,19,8,18
78,49,1.7053647211429486,6.195121182554428,2.473610828642092,17,9,23
79,46,1.5654013386717425,6.244686254085253,2.5035824357997942,12,11,23
80,37,1.8222997340588498,6.167436265859518,2.477576363655414,13,5,19
81,36,1.580773093448447,6.366563633911791,2.5366832883665915,11,8,17
82,33,1.4057850482693668,6.458677660465421,2.608725968551999,8,9,16
83,29,0.9007216404113974,6.55577054472468,2.6964160447743377,7,6,16
84,21,1.9697406421011159,6.402855553119453,2.690612020075644,8,6,7
85,26,1.465745343136398,6.448160890504965,2.6805717528710087,10,5,11
86,29,1.9734337249102136,6.461589232840795,2.698245992585199,15,5,9
87,38,1.7877397037732425,6.501328432059793,2.693011173074894,15,6,17
88,40,1.7433239090753934,6.442363985985573,2.675342974970194,15,12,13
89,44,1.4611403125914877,6.434713395653393,2.657829449027005,14,8,22
90,37,1.7734755046678983,6.38850176767506,2.5920133416275477,13,8,16
91,38,1.5052296777175451,6.416611889372336,2.5604425406809437,10,9,19
92,33,1.861260953286535,6.244874363489279,2.5410229798825648,11,11,11
93,36,1.6327234906552048,6.249089806909631,2.546653239735162,13,8,15
94,36,1.5811746033316967,6.239133715593018,2.5882693226614375,14,6,16
95,36,1.757243832938968,6.2108042376504935,2.5561881916482703,11,11,14
96,35,1.3178170239382905,6.2437032313740035,2.6863869611314612,9,7,19
97,27,2.0144630333495024,6.270365677616333,2.743864224042724,9,4,14
98,28,2.401798171413017,6.139333431040783,2.7052994723567223,15,4,9
99,39,1.9412987082513786,6.216477852244912,2.780430100650322,18,8,13
100,46,1.6228391695501125,6.411089138454093,2.878090668425606,13,12,21
101,43,1.8162409147562608,6.280696988547656,2.819655981727684,17,9,17
102,46,1.5257395830615834,6.307234177765705,2.835218859943069,14,12,20
103,43,1.6609298045498078,6.3427409893104,2.907778725266529,15,11,17
104,44,1.875145725032491,6.226745942223018,2.891694571301399,16,11,17
105,48,1.414030492902724,6.3527236809110015,2.9292773886976575,14,12,22
106,40,1.113738104424586,6.463459819823224,2.9763559072972336,10,9,21
107,30,1.8069902501895885,6.5165724889054895,3.0334545043924352,12,5,13
108,34,1.8299047746310988,6.477262384154199,3.0365177568971204,13,5,16
109,35,1.7107375638943394,6.3227180296501855,3.0060812768963294,16,4,15
110,38,1.750323689067639,6.385741370066923,3.0717344272711755,12,13,13
111,41,1.8501833003339292,6.554569500386291,3.155787092425486,15,16,10
112,50,1.594678884367337,6.551866096218421,3.120959542084567,18,15,17
113,52,1.5129702459138488,6.683378300573789,3.177077945604731,14,17,21
114,46,1.6085394448950598,6.527873147046477,3.157786501015009,14,16,16
115,47,1.6882176429855575,6.523990257643083,3.1786941275340634,13,18,16
116,48,1.6441448572950719,6.549223755299402,3.225165840585705,11,16,21
117,42,1.6378128344363525,6.751822666824014,3.2786086588484564,13,3,26
118,33,1.7315834323208807,6.849080603425278,3.2810101514762406,14,5,14
119,38,1.7952918073889428,6.8815070877900295,3.275496587478681,16,4,18
120,40,1.4668468084357167,6.823486248104443,3.242692566295564,13,5,22
121,34,1.6893147852428056,6.806451597091035,3.2637113713685424,13,8,13
122,36,1.8452297598599907,6.901059479754405,3.3005296080858764,12,10,14
123,37,1.8843748396404405,7.0432442301090505,3.3124600511225024,18,5,14
124,43,1.728170779821267,7.0818089621144855,3.3078423740343443,16,14,13
125,50,1.6726812656734895,7.162634522271807,3.352302758392918,16,24,10
126,57,1.2436001340974832,7.257494982730867,3.3478325273762493,10,17,30
127,37,1.8396776419767344,7.313785304424578,3.396675177022049,15,7,15
128,40,1.6742087691113852,7.424095977765923,3.38308880189049,12,12,16
129,37,1.8865977641404632,7.435643302302321,3.462144504908308,15,9,13
130,43,1.6715284330277889,7.372905796584243,3.4448273139709786,15,10,18
131,43,1.5994699538554022,7.409224103592055,3.4246491731651187,16,10,17
132,44,1.7125132223678357,7.427746492034159,3.398957794664655,15,10,19
133,44,1.5030287359561685,7.425520699366589,3.3481431408160414,13,7,24
134,36,1.8674300880252812,7.522451791418366,3.3047207191325225,16,8,12
135,42,1.7653239470602045,7.721613253560173,3.309534960346851,15,7,20
136,42,1.581580314920933,7.7306649711726845,3.327346169679072,11,15,16
137,39,1.8239373429816,7.68877334955821,3.3330415065771573,18,5,16
138,43,1.731875846477045,7.775546478549727,3.341393005931108,16,8,19
139,44,1.7113353448030137,7.841555290841591,3.381366035838441,18,11,15
140,48,1.6980842512183447,7.842583462569074,3.3868287318383232,19,12,17
141,52,1.7086253304429553,7.796345825298407,3.463377910582778,17,18,17
142,52,1.5469137314437709,7.732059489877907,3.4715882040730794,13,20,19
143,49,1.661008374241641,7.740948386530544,3.391450298507991,19,8,22
144,48,1.6018944194425366,7.859721177779188,3.453445088443472,18,10,20
145,49,1.60706525975323,7.8485005650616895,3.422275409307721,16,12,21
146,47,1.7660036603874112,7.738640153833045,3.3988819506755568,16,12,19
147,48,1.7700990580053653,7.798700091309072,3.5095840643714737,18,14,16
148,52,1.5074999507993132,7.81778429276538,3.5032130003064785,16,16,20
149,50,1.6713432109821433,7.81873168901145,3.4559689539469525,18,15,17
150,54,1.46170472220196,7.790100872695557,3.627548993593497,16,13,25
151,47,1.6028343625808197,7.757890008930382,3.6781774283819355,17,11,19
152,48,1.7101834614415976,7.690253954844639,3.6141627643621437,17,14,17
153,51,1.6771705375119428,7.719247436710257,3.632181363549617,17,13,21
154,49,1.6141776725971992,7.778719644488463,3.573918139932298,17,12,20
155,47,1.589449795857064,7.828638756495313,3.629715926029039,15,8,24
156,43,1.641047703844047,7.903553613296223,3.6409940492061286,16,8,19
157,43,1.6396034808161706,7.801385701559739,3.802180801228678,14,15,14
158,44,1.7980608159025757,7.757193049579192,3.809613080328545,21,6,17
159,52,1.3681745153694858,7.762566046906932,3.8358217194491697,12,16,24
160,41,1.7907553257979483,7.726829732152258,3.866196042554796,17,8,16
161,45,1.6650461425039442,7.719086630606395,3.7663911678451982,16,6,23
162,44,1.8880523617612055,7.693065447723458,3.9038770209784928,19,12,13
163,51,1.2971012545123861,7.698585869581786,3.894614755354385,15,9,27
164,40,1.7062833739983314,7.749512788534005,3.8397463281598143,13,9,18
165,37,1.9860175927521344,7.544230590334715,3.8626212135534335,17,8,12
166,46,1.5014362066026201,7.513909678236829,3.8363171768144686,14,9,23
167,39,1.8739307171474446,7.677267747858884,3.905117899954678,17,9,13
168,47,1.6810449074902631,7.732597214569477,3.910662923441405,18,8,21
169,49,1.6672012008774661,7.98812703438086,3.877636538644361,19,9,21
170,50,1.5862279140451394,8.010662439587545,3.8448303288361427,19,13,18
171,52,1.5550367254736281,8.006466011105912,3.8278138459077207,17,10,25
172,46,1.4258209590108493,8.037143857673739,3.8076699782319436,9,17,20
173,38,1.8693718410818643,8.218301551629075,3.8883407433086394,18,6,14
174,44,1.691896629344374,8.201846817293948,3.8675810063440363,17,12,15
175,47,1.6424826593185402,8.251946513874898,3.8387548212860247,16,12,19
176,47,1.7978669546557065,8.21918546176529,3.82442875096432,20,12,15
177,53,1.7027796693982722,8.121497178471978,3.898504919173303,17,15,21
178,51,1.304545789558979,8.16518504498444,3.876691315612604,13,12,26
