generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
0,1,0.99,1.0,1.0,0,0,0
0,1,6.411296296296036,1.0,1.0,1,0,0
1,3,5.405900165064648,1.0091330702602532,1.0009126892738125,3,0,0
2,8,2.408899900207832,1.0012796241461404,1.005862287030551,5,3,0
3,14,2.4106859821306617,1.0016596289074653,0.9990125970981393,7,5,2
4,22,2.2311293128809755,0.9996938501071981,0.9948995693057465,12,9,1
5,34,1.4115313595519834,0.9979459136821276,1.0030641261534272,9,14,11
6,32,1.534781138365206,1.0012499933244345,1.0022750505962,10,11,11
7,32,1.5626209166033518,1.0053515654708496,1.0056402131186957,12,8,12
8,34,1.4073808663046568,1.0073178066135242,0.9979027764437792,8,14,12
9,30,1.6741625731911371,0.9995041219256465,1.0133690330777871,12,7,11
10,33,1.4412118868524915,0.9935048212206481,1.0119337923906013,8,13,12
11,31,1.669633988635299,0.9971305694430845,1.002018022107165,12,9,10
12,35,1.4473138963769419,0.9924070000475167,0.9873333578104468,8,16,11
13,33,1.3631726976973522,0.9798752181068865,0.9939143493174328,7,15,11
14,29,1.7365467563685428,0.9711336319933858,1.0033936232715184,10,9,10
15,31,1.5891248396727102,0.9694894205776897,1.001252198072636,10,9,12
16,31,1.6564099988267451,0.9710074548233218,0.9890290528556879,12,11,8
17,36,1.3453374283671975,0.9730092538687268,0.9905698864586903,8,14,14
18,30,1.491443822417783,0.9802425666221851,0.9894241643725906,10,9,11
19,29,1.666476564520956,0.9836349321061317,0.980984337536018,9,14,6
20,33,1.544732840737163,0.982975592289647,0.9876793670669223,10,11,12
21,32,1.5815703287245315,0.978193703715804,0.991439377218528,8,15,9
22,33,1.6084083449313045,0.9720567993641098,0.9990278179095704,11,10,12
23,34,1.3983743227713188,0.9719817557804504,0.9955680948656183,8,14,12
24,30,1.6917590926968102,0.974033116787879,0.9997750424515328,14,6,10
25,34,1.5130609428414479,0.9701098066987218,1.00805874969305,10,13,11
26,35,1.4274607207251016,0.961693434902655,1.0168820658587814,10,11,14
27,32,1.4273015466975547,0.960208477565139,1.0216349472214157,10,8,14
28,29,1.6632894779043321,0.9643540270531201,1.0311150343478603,10,12,7
29,33,1.602143199913915,0.9570052942240462,1.0512728559354405,11,12,10
30,35,1.5035396405968033,0.9663642523266418,1.0410757379238544,13,9,13
31,35,1.5326748327813569,0.9605314211170543,1.050534103654165,11,9,15
32,33,1.5378406812244227,0.9625694654143813,1.0524745160248128,10,15,8
33,35,1.2794508338877002,0.9505013145880611,1.0566719999544592,8,12,15
34,28,1.596229085156338,0.9606929989731628,1.0535915848278012,10,11,7
35,31,1.3262855974435983,0.9570334473406211,1.0415502650316741,9,8,14
36,26,1.9587202552687744,0.9558829507713084,1.0533039131669193,11,10,5
37,34,1.3994775259277425,0.9453429333882781,1.0433630015078075,10,10,14
38,30,1.3826994519423879,0.9564692677607379,1.0662321742435223,5,15,10
39,26,1.6965727788343181,0.9398907608223257,1.058971587294693,9,10,7
40,29,1.7272247782473573,0.934811106703801,1.1033437831340478,8,11,10
41,31,1.6506883874022642,0.9330130698310044,1.0778427531233359,13,6,12
42,34,1.5681310623473188,0.9461719693409196,1.065474031827794,12,10,12
43,35,1.4398822204316615,0.9446266340945664,1.1020270901644673,11,10,14
44,33,1.4698821653424041,0.9316618601204125,1.1353529020241893,7,16,10
45,31,1.5319399170081531,0.9482623903476181,1.1245644231794192,9,13,9
46,32,1.4049158824711379,0.9366830821621174,1.1383122032137096,8,14,10
47,31,1.4680167033070004,0.9222023503575865,1.1729341265479014,9,10,12
48,30,1.7712249298145752,0.9179902638593158,1.1782693338072963,13,9,8
49,37,1.375671054225184,0.917381035052491,1.186624877911645,9,9,19
50,30,1.2513959778344552,0.9299589644998478,1.2252221977421478,7,9,14
51,24,1.7987393764807387,0.9270106569256126,1.2402722584483195,10,5,9
52,28,1.808628871202388,0.9290691100777314,1.2419012717258517,12,10,6
53,34,1.49958976488727,0.9257731408980135,1.2412250555231257,11,13,10
54,35,1.3759764963623404,0.9330374663703409,1.2489473086822642,9,13,13
55,32,1.5258646674015006,0.943937570626543,1.2498344742095586,12,9,11
56,34,1.3700093896980312,0.9464548407361032,1.2434925319674814,8,15,11
57,31,1.5537233926267244,0.9519222385446326,1.2652310434959932,10,12,9
58,33,1.363127825875957,0.9450810064705899,1.267857920211068,8,12,13
59,28,1.4694459340184267,0.9410586535580681,1.2788718864374218,9,6,13
60,26,1.8595579504809088,0.9484049160282498,1.2756133095369775,11,7,8
61,32,1.4753788905130283,0.9525484493343087,1.298228822498684,7,16,9
62,31,1.433492022080925,0.9731199906547354,1.3074951220165494,8,12,11
63,29,1.7376840172734773,0.980484855421459,1.3369145130059927,10,12,7
64,35,1.289265988451392,0.9814118844875661,1.3567311738758614,9,12,14
65,31,1.4033790568391002,0.9894235685046597,1.3811699012876193,10,10,11
66,30,1.5389672408306656,0.9883187930381615,1.3866778751892004,11,11,8
67,34,1.3633802648340319,0.9947975484867662,1.377152050940983,10,11,13
68,31,1.6159725420790532,1.0038100335692972,1.397945051909025,10,13,8
69,36,1.39410367257887,1.0121615007036369,1.416691219682922,9,15,12
70,35,1.4815819296657806,1.0058357781086436,1.4337243330780027,12,14,9
71,38,1.2257816785699076,1.0066359337618924,1.4423924782981012,11,10,17
72,33,1.4032390232690886,1.0012698320550468,1.441159715151939,13,6,14
73,34,1.2138095786442258,1.0086726286009806,1.4588053045088523,7,14,13
74,29,1.442963385776846,1.0195358682537874,1.4431234239491366,7,14,8
75,30,1.5539760788671018,1.0347182247652336,1.4685429627301574,12,6,12
76,33,1.275588942324303,1.0375322890614938,1.493503620175962,11,7,15
77,30,1.260444212320209,1.0634915913984582,1.500231743219192,7,9,14
78,26,1.6359720530443538,1.0586635501689623,1.559444172853395,9,11,6
