generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
0,10,0.99,1.0,1.0,0,0,0
0,10,4.161296296295979,1.0,1.0,8,1,1
1,22,2.6397959955013155,0.996687398218402,1.0023818591795528,11,6,5
2,32,2.058230103729948,0.997192378436072,1.0036196228657823,14,10,8
3,41,1.8282752740720454,0.9921956547702588,1.0070112700070761,16,17,8
4,52,1.6306122785890196,0.9891922332426972,1.0068599449455193,15,19,18
5,50,1.7511903322265434,0.9923856505884538,1.0056552139338628,15,18,17
6,52,1.5072371077462656,0.997471366579813,0.9978420057655234,15,25,12
7,55,1.7377637196998352,0.9969013751711123,0.997592132443821,19,17,19
8,56,1.576830764636376,0.9939930530395408,0.9904634813662808,17,19,20
9,54,1.4369398347009594,0.9962357167908096,0.9805457946843698,11,24,19
10,46,1.767132588439717,0.9943132030044299,0.9787289813009038,13,25,8
11,55,1.5261685212212097,0.9905371875200585,0.9731677826416952,18,20,17
12,57,1.5320291556374352,0.9814724991613204,0.9871930074467022,16,20,21
13,54,1.7278407388498667,0.9981753764901852,0.9815442936894446,16,20,18
14,52,1.607815566947335,0.9988136196917217,0.9798768596806819,19,15,18
15,55,1.6092671793271973,0.9936514630700144,0.9914103954281751,15,20,20
16,51,1.7774663989076762,0.995458136373991,0.9858910108055811,17,13,21
17,50,1.5531881549012423,0.9929877922054969,0.9884001920866331,17,22,11
18,56,1.5343301110878598,0.993728955308435,0.9905248397401999,15,20,21
19,54,1.6581693773131336,0.994333016071796,1.0034029032449507,12,27,15
20,54,1.6484126003942723,1.001045326938753,0.9868929921916533,20,16,18
21,57,1.5579324308561087,1.005268096375752,0.9923127551173232,14,25,18
22,55,1.7339966668900921,1.0128547021863548,0.9925767090859445,18,19,18
23,56,1.3946951471574625,1.0111681203574503,0.9985317599704395,15,15,26
24,45,1.7586355510827165,1.0046650747005945,0.9912273815220359,17,11,17
25,49,1.719833604928771,1.020075020370746,0.9886653615649518,18,18,13
26,55,1.5919091697978864,1.0303691087986548,0.9977849942065614,20,18,17
27,58,1.6335661489692344,1.0137715933610774,1.0080627327619076,17,19,22
28,55,1.6587532428643594,1.009697050277619,1.0034093466699532,18,17,20
29,54,1.7137220551593404,1.02167867288582,1.0010821036003845,15,26,13
30,57,1.690388135398953,1.0298666363197897,1.015832976857119,17,22,18
31,57,1.455968951008085,1.042175551224163,1.0253052118114305,15,25,17
32,55,1.7629767790984412,1.039069916868454,1.0315453916246742,17,17,21
33,54,1.7286853259928103,1.03832698757246,1.0248913680983256,18,15,21
34,53,1.7172579628544031,1.040882768775035,1.038298216431533,18,17,18
35,54,1.5157981842630666,1.0470487199977458,1.0322139132854018,18,14,22
36,54,1.5445368364924723,1.043643372975096,1.0417248561991213,19,18,17
37,59,1.505601588620281,1.0470263351765885,1.0290707175024112,19,21,19
38,59,1.5629145338658899,1.0317036775176145,1.0259602911039218,11,32,16
39,56,1.4299395931222185,1.024245447952743,1.0272536631290055,17,18,21
40,52,1.6102041783755339,1.0261186078386453,1.033322386573317,17,20,15
41,56,1.5953730264824375,1.022652080544857,1.0318232763088866,18,17,21
42,54,1.6289255081051481,1.0310915225658743,1.031881133163533,15,18,21
43,49,1.7040077294645377,1.02091020862067,1.0364128822727392,18,12,19
44,49,1.4922635999335987,1.0312452517017725,1.0737820978424029,11,16,22
45,40,1.9048651777086119,1.034568791481756,1.0948191483436034,14,17,9
46,49,1.7337690422124128,1.0332867077141774,1.126118136104839,18,16,15
47,52,1.6300648185405655,1.0433858745712032,1.1201450091471927,14,28,10
48,57,1.6688364820142778,1.0428756111297044,1.1303841937654857,14,18,25
49,48,1.4996623321623535,1.0448877606373805,1.1034042501431693,12,17,19
50,42,1.975389139710809,1.03156006089548,1.1011483712227708,21,9,12
51,52,1.5278671270559179,1.0377529762691757,1.1365340588726687,14,19,19
52,51,1.6459889911492893,1.041526306204667,1.1668967931820569,16,18,17
53,51,1.7629340317560713,1.0322405359727282,1.1669281935472517,18,17,16
54,53,1.5067802584121248,1.046202779698182,1.1693556514013956,13,24,16
55,52,1.6761056828034806,1.0433669592077248,1.1664240714626415,20,15,17
56,56,1.4897620077530205,1.0429844717658756,1.1705022077590062,18,17,21
57,55,1.6212734809851341,1.0462841826500577,1.1775440670216897,16,16,23
58,50,1.7914363983632902,1.0491514843760488,1.2002358600893617,18,13,19
59,50,1.5165776526391737,1.0510624785699796,1.2076098092470298,14,11,25
60,42,1.6965390664664601,1.04082875622774,1.2220191077457545,14,14,14
61,43,1.7610339957203827,1.0476903473982473,1.2212123797896068,16,14,13
62,50,1.6743847727655026,1.039655869818666,1.2224439578629958,13,20,17
63,48,1.714154513057726,1.0465252844970188,1.2387170647813044,16,20,12
64,53,1.6725741115816468,1.0515141368083811,1.2411953249600691,20,12,21
65,53,1.565920780422492,1.0507782471937188,1.2359500529793226,17,13,23
66,49,1.7915435668793707,1.054601384234275,1.2650794153871958,15,13,21
67,48,1.7302408709561978,1.0315642568017096,1.268928430811927,14,17,17
68,48,1.8739906226886978,1.0338974747586107,1.2920235672909126,18,18,12
69,55,1.6062764178529663,1.0320667673357733,1.287236269244589,17,16,22
70,54,1.7340321517892445,1.0532229674090836,1.3098494979710924,13,19,22
71,48,1.6809830454826444,1.0851543691548964,1.323329320968832,19,14,15
72,55,1.7156838400715562,1.0921633418074206,1.332102938009749,17,21,17
73,57,1.5773978669320246,1.0988324734780586,1.3240559636177034,15,19,23
74,50,1.7439564480172907,1.1110401980070927,1.344186969372852,13,20,17
75,48,1.6930896747554216,1.1351136615014015,1.3564690018330288,18,17,13
76,55,1.6993716344125285,1.1355512729131798,1.3653934195225421,21,8,26
77,53,1.5045105131287646,1.1398737771715384,1.3812799761484493,17,19,17
78,55,1.6130836201061927,1.1363457309660283,1.397254656137041,17,13,25
79,49,1.4614152539124194,1.1194638829295012,1.394623156345613,10,13,26
80,35,2.0215115847974348,1.132253894740131,1.3986527158838729,17,11,7
81,49,1.7235061492143462,1.14546378654037,1.4213644521979425,15,17,17
82,50,1.7392012944784818,1.1510675262076977,1.4206607069423467,14,17,19
83,48,1.7917470759074383,1.1612988845295529,1.4418307525370047,18,11,19
84,51,1.6684272726062885,1.1811447386818872,1.429263032536394,15,17,19
85,51,1.7116744430642137,1.210848844644402,1.4531394631289725,15,14,22
86,47,1.67478072984366,1.2191651425348065,1.4507339953104579,20,9,18
87,51,1.7045671474079627,1.2094474686816534,1.4658159712644494,16,14,21
88,49,1.8784936596653303,1.2173820794943464,1.4946540670039514,17,17,15
89,52,1.8136384556180307,1.215920319392232,1.5083236303739334,13,20,19
90,50,1.8426687957728887,1.219860252504344,1.4987623995455062,16,19,15
91,53,1.7473745985603566,1.2194541212173131,1.4856031481899912,20,11,22
92,53,1.6062544716265552,1.2328275722693403,1.5013102906105793,14,19,20
93,51,1.7617024319035066,1.253703188211922,1.5074870531882227,19,13,19
94,53,1.7930348582202156,1.274487874169716,1.5211600434251014,16,19,18
95,53,1.6579602216134357,1.2552562604949355,1.52584694884444,17,15,21
96,52,1.6472346029988274,1.2460431642858958,1.5228994537532918,19,13,20
97,52,1.7114558965580629,1.236124437978278,1.5244526043482078,14,21,17
