generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
0,10,0.99,1.0,1.0,0,0,0
0,10,4.411296296295994,1.0,1.0,8,1,1
1,23,2.4328698241697904,1.0004172117777803,1.0003974416531818,11,2,10
2,29,2.2390852882884325,1.0001421848490002,1.0010563188430155,15,8,6
3,44,1.5909884738797861,1.0007439858479321,1.001643267673803,10,13,21
4,36,1.963904600483001,1.0013273079746756,1.0003572801596414,17,9,10
5,47,1.5186037377266588,1.0018288287268124,1.0003475081197093,12,12,23
6,36,1.7852337430440228,1.0017143821376286,1.000875997980749,12,10,14
7,37,1.8348003595062572,1.001776514165703,1.0009617675953455,12,8,17
8,34,1.9290580392738401,1.0019825373433076,1.0014052158668327,11,10,13
9,36,1.8134870408506576,1.0023581156230117,0.9993461401567818,11,9,16
10,33,1.910481438507788,1.0022609184501006,0.9988980851095276,12,8,13
11,34,2.0051008592507182,1.0033522308755067,0.9993760846584545,16,9,9
12,46,1.705960492662919,1.002009911458154,0.9992848626505715,16,20,10
13,54,1.4782403037013383,1.0023918580547122,0.9995184290553887,18,16,20
14,54,1.586148164862405,1.002267958735416,1.000745840411729,15,25,14
15,56,1.6365697005395503,1.0017751498605925,1.0006970145392142,17,16,23
16,52,1.643112962382649,1.001485530776469,0.9993028818681129,17,15,20
17,50,1.6307716816558784,1.0029681629280047,0.9996249968750288,17,16,17
18,51,1.792734758986856,1.0022483269281106,0.9997346065600335,17,19,15
19,53,1.7094947881768534,1.0013108688111703,1.0002630939155392,16,20,17
20,53,1.643495061177987,1.0025866249485762,1.0012058911781654,16,22,15
21,55,1.3410615870445375,1.004265568624636,1.0023504575272475,10,14,31
22,34,1.8493450753609042,1.0038431144233486,1.0036740054336892,11,9,14
23,33,1.907253966664861,1.0048168963875466,1.004880676307913,10,7,16
24,32,1.95244711832005,1.0073131502709638,1.0056898099838447,10,11,11
25,32,2.096657028021964,1.0106601366205232,1.0077194480143417,19,11,2
26,51,1.7186391225599345,1.0110130751459856,1.0090068935436771,16,21,14
27,53,1.5535199476163148,1.0113164602554456,1.0104481940947072,22,14,17
28,59,1.5804024529521838,1.0107629426137623,1.0095951862059043,17,14,28
29,50,1.7547412431417644,1.0119921169736847,1.0100585982762127,15,21,14
30,53,1.5917349677690718,1.0119688052073552,1.0092564299467288,16,18,19
31,52,1.552220278559613,1.0114386410340321,1.0092995087157812,16,20,16
32,54,1.499588960607218,1.0112365854039058,1.0105090951905242,19,15,20
33,54,1.5361654731426353,1.0122900529181134,1.0109831269071057,20,14,20
34,56,1.6720405693800646,1.0124452702968967,1.0099630449013757,14,27,15
35,56,1.5216547965616682,1.0110709324978677,1.0106862297401435,13,24,19
36,53,1.7624969721029498,1.0125074572430888,1.0089676437859867,15,19,19
37,51,1.6628209770827485,1.0129408404227496,1.0087956273052239,16,22,13
38,56,1.660741740831328,1.015787054483614,1.0077813490339358,14,21,21
39,52,1.6552589804580156,1.0185081191295027,1.006272963960891,16,20,16
40,53,1.5679977070755577,1.0188663296247,1.008460122594277,17,21,15
41,56,1.6139875463094413,1.0191288209629248,1.007966656684234,15,26,15
42,57,1.5575799906266905,1.0188683826281804,1.0076953309607164,14,23,20
43,52,1.6145046600559705,1.0196395146505337,1.004906543533342,16,23,13
44,55,1.3956177752842,1.0172033816080868,1.0050221540800983,11,15,29
45,38,1.8232530909713927,1.01636279674309,1.0047379169294393,18,10,10
46,48,1.5424006567755073,1.0178074540367634,1.0068959657681495,17,9,22
47,44,1.7368218320962796,1.0184228518958482,1.0056208676680978,18,15,11
48,54,1.6344084047010483,1.0171040206056283,1.00651535809867,14,24,16
49,54,1.517767629128256,1.0157139356857372,1.0068043995831382,19,16,19
50,55,1.5591795157055615,1.0156830726390422,1.0054045509671121,17,23,15
51,58,1.6404525538221013,1.0156517974410728,1.0055390263794624,13,25,20
52,54,1.6584311262276363,1.0170989330792861,1.0064677734141694,13,27,14
53,56,1.5385558872373841,1.0181206472987712,1.005482267338574,14,24,18
